the_geom,cartodb_id,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cost_estimate,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E610000000000020057852C000000020735F4440,4583,0101000020110F0000FFDC088D045F5FC1B02F57294EFA5241,40.7457008361816,-73.8753128051758,Queens,NB,New Building,421609361,4039175,NB,3106520,false,20990,9/18/2020,6/12/2021 12:00,90-12,WHITNEY AVENUE,404,MASTER WORKS CONTRACTOR I,RESIDENTIAL: APARTMENT HOUSES,6,20
0101000020E6100000000000C00C7F52C0000000C0735F4440,4584,0101000020110F00006B7B2365F56A5FC1CD2AB4DC4EFA5241,40.745719909668,-73.9851531982422,Manhattan,NB,New Building,122128679,1090479,NB,53544180,false,361785,12/11/2020,3/30/2021 12:00,15,EAST 30TH STREET,105,MADISON 30 31 OWNER LLC,RESIDENTIAL: APARTMENT HOUSES,56,199
0101000020E6100000000000C0D77A52C0000000C0735F4440,4585,0101000020110F0000D3E58F00D0635FC1CD2AB4DC4EFA5241,40.745719909668,-73.9194183349609,Queens,NB,New Building,421661963,4001756,NB,2797200,false,18900,7/27/2020,7/27/2021 12:00,41-34,45TH STREET,402,RP DEVELOPMENT GROUP CORP,RESIDENTIAL: APARTMENT HOUSES,8,25
0101000020E6100000000000401C6D52C0000000C0745F4440,4586,0101000020110F000095035A927C4C5FC13A5DAFFB4FFA5241,40.7457504272461,-73.7048492431641,Queens,A1,ALT 1 Enlargement,421891260,4178266,A1,301670,true,936,10/19/2020,5/31/2021 12:00,80-14,267 STREET,413,ST. MARYS CONSTRUCTION IN,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E6100000000000406D7F52C000000060755F4440,4587,0101000020110F0000FA575E4F996B5FC120610CAF50FA5241,40.7457695007324,-73.9910430908203,Manhattan,A1,ALT 1 Enlargement,102670281,1015078,A1,165000,true,1002,10/11/2019,12/31/2020 12:00,801,6 AVENUE,105,E & S AND SONS CORP,RESID. BLDG - OLD CODE,5,4
0101000020E6100000000000E0127F52C000000060755F4440,4588,0101000020110F0000FC5C8BCCFF6A5FC120610CAF50FA5241,40.7457695007324,-73.9855270385742,Manhattan,NB,New Building,123058822,1090601,NB,6214816,false,41992,11/13/2020,11/13/2021 12:00,7,EAST 30TH ST,105,TITANIUM CONSTRUCTION SER,RESIDENTIAL: APARTMENT HOUSES,24,49
0101000020E6100000000000007A7C52C000000000765F4440,4589,0101000020110F00000BEC207196665FC16368696251FA5241,40.7457885742188,-73.9449462890625,Queens,NB,New Building,420665275,4000708,NB,11003800,false,74350,7/21/2020,7/21/2021 12:00,23-20,JACKSON AVENUE,402,THE VOREA CONSTRUCTION CO,"RESIDENTIAL: HOTELS, DORMITORIES",9,72
0101000020E6100000000000008F7C52C0000000A0795F4440,4590,0101000020110F00008C3ACE1CBA665FC1966EB87255FA5241,40.7458992004395,-73.9462280273438,Queens,NB,New Building,420659406,4000561,NB,15641084,false,105683,10/2/2020,2/19/2021 12:00,22-43,JACKSON AVENUE,402,ZHONG WANG CONSTRUCTION S,RESIDENTIAL: APARTMENT HOUSES,11,71
0101000020E610000000000060887E52C0000000007A5F4440,4591,0101000020110F00006AE3F58A146A5FC180B356DE55FA5241,40.7459106445312,-73.9770736694336,Manhattan,A1,ALT 1 Enlargement,121206578,1020166,A1,1101317,true,4185,12/2/2020,6/18/2021 12:00,214,EAST 35TH STREET,106,YATZIV CORP,RESIDENTIAL: APARTMENT HOUSES,5,9
0101000020E610000000000000B17652C0000000007A5F4440,4592,0101000020110F0000A50E7BD0C25C5FC180B356DE55FA5241,40.7459106445312,-73.8545532226562,Queens,NB,New Building,421941377,4049549,NB,44400,false,300,7/1/2020,6/17/2021 12:00,108-41,49 AVENUE,404,PAN LINK CONSTRUCTION INC,UTILITY / MISCELLANEOUS,1,
